一 eins
胎 Mutterleib
窓 Fenster
去 fort
法 Gesetz
会 Zusammenkunft
至 erreichen
室 Zimmer
到 ankommen
致 herbeiführen
互 gegenseitig
棄 verwerfen
育 aufziehen
撤 zurückziehen
充 füllen
銃 Gewehr
硫 Schwefel
流 Strömung
允 gestatten
唆 verführen
出 hinaus-
山 Berg
拙 ungeschickt
岩 Felsen
炭 Holzkohle
岐 Abzweigung
峠 Gebirgspass
崩 zerfallen
密 heimlich
蜜 Honig
嵐 Sturm
崎 Vorgebirge
入 hinein-
込 gedrängt
分 Teil
貧 arm
頒 verteilen
公 öffentlich
松 Kiefer
翁 Greis
訟 verklagen
谷 Tal
浴 baden
容 Inhalt
溶 schmelzen
欲 begehren
裕 Überfluss
鉛 Blei
沿 entlang verlaufen
賞 Auszeichnung
党 Partei
堂 Halle
常 üblich
裳 Rock
掌 Handfläche
皮 Pelz
波 Welle
婆 Greisin
披 eröffnen
破 zerreißen
被 sich etwas zuziehen
残 Rest
殉 Martyrium
殊 insbesondere
殖 vermehren
列 Zug
裂 spalten
烈 entbrannt
死 Tod
葬 Beerdigung
瞬 blinzeln
耳 Ohr
取 nehmen
趣 Sinngehalt
最 äußerst
撮 knipsen
恥 Scham
職 Posten
聖 heilig
敢 kühn
聴 horchen
懐 Nostalgie
慢 spöttisch
漫 unbekümmert
買 kaufen
置 platzieren
罰 ahnden
寧 eher
濁 trübe
環 Ring
還 zurückversetzen
夫 Ehemann
扶 Unterhalt
渓 Gebirgsbach
規 Norm
替 umtauschen
賛 preisen
潜 untertauchen
失 verlieren
鉄 Eisen
迭 abwechseln
臣 Gefolgsmann
姫 Prinzessin
蔵 Depot
臓 Eingeweide
賢 intelligent
堅 solide
臨 entgegensehen
覧 besichtigen
巨 riesig
拒 abweisen
力 Kraft
男 Mann
労 Mühe
募 anwerben
劣 minderwertig
功 verdienstvoll
勧 aufmuntern
努 sich anstrengen
励 anspornen
加 hinzufügen
賀 Gratulation
架 installieren
脇 Flanke
脅 bedrohen
協 ko-
行 gehen
律 Rhythmus
復 wiederherstellen
得 Nutzen
従 folgen
徒 vergeblich
待 warten
往 Fahrt
征 unterwerfen
径 Durchmesser
彼 Er
役 Dienst
徳 Tugend
徹 durchdringen
徴 Anzeichen
懲 Sanktion
微 winzig
街 Boulevard
衡 Gleichgewicht
稿 Manuskript
稼 Einkünfte
程 Ausmaß
税 Steuern
稚 kindlich
和 Harmonie
移 verlagern
秒 Sekunde
秋 Herbst
愁 Kummer
私 privat
秩 Ordnung
秘 Geheimnis
称 Bezeichnung
利 Vorteil
梨 Birnbaum
穫 Ernte
穂 Ähre
